"2021-12-14 16:28:34 [restartedMain] INFO  c.s.jdbc.TeachersJdbcApplication - Starting TeachersJdbcApplication using Java 1.8.0_271 on DESKTOP-TUF68GU with PID 29068 (C:\Users\DADAK\Redbaton\Uniphore\umr-acw-services\TeachersJDBC+SB+Swagger&&Loger\target\classes started by DADAK in C:\Users\DADAK\Redbaton\Uniphore\umr-acw-services\TeachersJDBC+SB+Swagger&&Loger)
""2021-12-14 16:29:30 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9899 (http) with context path ''
""2021-12-14 16:29:30 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
""2021-12-14 16:29:30 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
""2021-12-14 16:29:30 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
""2021-12-14 16:29:30 [restartedMain] INFO  c.s.jdbc.TeachersJdbcApplication - Started TeachersJdbcApplication in 0.457 seconds (JVM running for 3866.155)
""2021-12-14 16:29:30 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
""2021-12-14 16:29:33 [RMI TCP Connection(94)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2021-12-14 16:29:33 [RMI TCP Connection(94)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-12 - Shutdown initiated...
""2021-12-14 16:29:33 [RMI TCP Connection(94)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-12 - Shutdown completed.
""2021-12-14 16:29:45 [restartedMain] INFO  c.s.jdbc.TeachersJdbcApplication - Starting TeachersJdbcApplication using Java 1.8.0_271 on DESKTOP-TUF68GU with PID 9100 (C:\Users\DADAK\Redbaton\Uniphore\umr-acw-services\TeachersJDBC+SB+Swagger&&Loger\target\classes started by DADAK in C:\Users\DADAK\Redbaton\Uniphore\umr-acw-services\TeachersJDBC+SB+Swagger&&Loger)
""2021-12-14 16:29:45 [restartedMain] INFO  c.s.jdbc.TeachersJdbcApplication - No active profile set, falling back to default profiles: default
""2021-12-14 16:29:45 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2021-12-14 16:29:45 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2021-12-14 16:29:46 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
""2021-12-14 16:29:46 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 JDBC repository interfaces.
""2021-12-14 16:29:46 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9899 (http)
""2021-12-14 16:29:46 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2021-12-14 16:29:46 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
""2021-12-14 16:29:46 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2021-12-14 16:29:46 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1210 ms
""2021-12-14 16:29:46 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2021-12-14 16:29:46 [restartedMain] WARN  c.z.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
""2021-12-14 16:29:47 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2021-12-14 16:29:47 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/jdbccrud'
""2021-12-14 16:29:47 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
""2021-12-14 16:29:47 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2021-12-14 16:29:47 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9899 (http) with context path ''
""2021-12-14 16:29:47 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
""2021-12-14 16:29:47 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
""2021-12-14 16:29:47 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
""2021-12-14 16:29:47 [restartedMain] INFO  c.s.jdbc.TeachersJdbcApplication - Started TeachersJdbcApplication in 2.682 seconds (JVM running for 3.392)
""2021-12-14 16:30:27 [http-nio-9899-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2021-12-14 16:30:45 [restartedMain] INFO  c.s.jdbc.TeachersJdbcApplication - Starting TeachersJdbcApplication using Java 1.8.0_271 on DESKTOP-TUF68GU with PID 5860 (C:\Users\DADAK\Redbaton\Uniphore\umr-acw-services\TeachersJDBC+SB+Swagger&&Loger\target\classes started by DADAK in C:\Users\DADAK\Redbaton\Uniphore\umr-acw-services\TeachersJDBC+SB+Swagger&&Loger)
""2021-12-14 16:30:45 [restartedMain] INFO  c.s.jdbc.TeachersJdbcApplication - No active profile set, falling back to default profiles: default
""2021-12-14 16:30:45 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
""2021-12-14 16:30:45 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
""2021-12-14 16:30:45 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
""2021-12-14 16:30:45 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 JDBC repository interfaces.
""2021-12-14 16:30:46 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9899 (http)
""2021-12-14 16:30:46 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2021-12-14 16:30:46 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
""2021-12-14 16:30:46 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2021-12-14 16:30:46 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1198 ms
""2021-12-14 16:30:46 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2021-12-14 16:30:46 [restartedMain] WARN  c.z.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
""2021-12-14 16:30:46 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2021-12-14 16:30:46 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/jdbccrud'
""2021-12-14 16:30:46 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
""2021-12-14 16:30:46 [restartedMain] WARN  o.s.b.d.a.OptionalLiveReloadServer - Unable to start LiveReload server
""2021-12-14 16:30:47 [restartedMain] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'webServerStartStop'; nested exception is org.springframework.boot.web.server.PortInUseException: Port 9899 is already in use
""2021-12-14 16:30:47 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2021-12-14 16:30:47 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
""2021-12-14 16:30:47 [restartedMain] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
""2021-12-14 16:30:47 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
""2021-12-14 16:30:47 [restartedMain] ERROR o.s.b.d.LoggingFailureAnalysisReporter - 

***************************
APPLICATION FAILED TO START
***************************

Description:

Web server failed to start. Port 9899 was already in use.

Action:

Identify and stop the process that's listening on port 9899 or configure this application to listen on another port.

""2021-12-14 16:32:46 [Thread-6] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2021-12-14 16:32:46 [Thread-6] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
""2021-12-14 16:32:46 [restartedMain] INFO  c.s.jdbc.TeachersJdbcApplication - Starting TeachersJdbcApplication using Java 1.8.0_271 on DESKTOP-TUF68GU with PID 9100 (C:\Users\DADAK\Redbaton\Uniphore\umr-acw-services\TeachersJDBC+SB+Swagger&&Loger\target\classes started by DADAK in C:\Users\DADAK\Redbaton\Uniphore\umr-acw-services\TeachersJDBC+SB+Swagger&&Loger)
""2021-12-14 16:32:46 [restartedMain] INFO  c.s.jdbc.TeachersJdbcApplication - No active profile set, falling back to default profiles: default
""2021-12-14 16:32:46 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
""2021-12-14 16:32:46 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 JDBC repository interfaces.
""2021-12-14 16:32:46 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9899 (http)
""2021-12-14 16:32:46 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2021-12-14 16:32:46 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
""2021-12-14 16:32:46 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2021-12-14 16:32:46 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 330 ms
""2021-12-14 16:32:46 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
""2021-12-14 16:32:46 [restartedMain] WARN  c.z.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
""2021-12-14 16:32:46 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
""2021-12-14 16:32:46 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/jdbccrud'
""2021-12-14 16:32:46 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
""2021-12-14 16:32:46 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2021-12-14 16:32:46 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9899 (http) with context path ''
""2021-12-14 16:32:46 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
""2021-12-14 16:32:46 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
""2021-12-14 16:32:46 [restartedMain] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
""2021-12-14 16:32:46 [restartedMain] INFO  c.s.jdbc.TeachersJdbcApplication - Started TeachersJdbcApplication in 0.58 seconds (JVM running for 182.16)
""2021-12-14 16:32:46 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
""2021-12-14 16:32:50 [Thread-13] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
""2021-12-14 16:32:50 [Thread-13] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
""2021-12-14 16:32:50 [restartedMain] INFO  c.s.jdbc.TeachersJdbcApplication - Starting TeachersJdbcApplication using Java 1.8.0_271 on DESKTOP-TUF68GU with PID 9100 (C:\Users\DADAK\Redbaton\Uniphore\umr-acw-services\TeachersJDBC+SB+Swagger&&Loger\target\classes started by DADAK in C:\Users\DADAK\Redbaton\Uniphore\umr-acw-services\TeachersJDBC+SB+Swagger&&Loger)
""2021-12-14 16:32:50 [restartedMain] DEBUG c.s.jdbc.TeachersJdbcApplication - Running with Spring Boot v2.5.7, Spring v5.3.13
""2021-12-14 16:32:50 [restartedMain] INFO  c.s.jdbc.TeachersJdbcApplication - No active profile set, falling back to default profiles: default
""2021-12-14 16:32:50 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
""2021-12-14 16:32:50 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 JDBC repository interfaces.
""2021-12-14 16:32:50 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9899 (http)
""2021-12-14 16:32:50 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2021-12-14 16:32:50 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
""2021-12-14 16:32:50 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2021-12-14 16:32:50 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 276 ms
""2021-12-14 16:32:50 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
""2021-12-14 16:32:50 [restartedMain] WARN  c.z.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
""2021-12-14 16:32:50 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
""2021-12-14 16:32:50 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:mysql://localhost:3306/jdbccrud'
""2021-12-14 16:32:50 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
""2021-12-14 16:32:50 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2021-12-14 16:32:50 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9899 (http) with context path ''
""2021-12-14 16:32:50 [restartedMain] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
